Укажите тэг продукции;Укажите тему заметки;Напишите саму заметку;Приложите файл если это необходимо вам
РЛК;КМЧ РЛК;Комплектация КМЧ РЛК;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F68dfd00ae010db6e28cf6c17_kmch_komplektatsiya.pdf
ПМЛ, ПМ12;Условные обозначения пускателей;Таблица с условными обозначениями советских пускателей;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F68e39c0690fa7b06c4fd66e2_uslovnyie_oboznacheniya_puskatelej.xlsx
ТТК;Размеры крепежных отверстий;Схема с размерами крепежных отверстий ТТК;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F68e39c7249363908426dcac0_krepezhnyie_otverstiya_ttk_i_ttk_a.png
BM63-МССК;Положения контактов МССК;Описание положения контактов МССК в разных режимах.;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F68e39ca6f47e730ae2e3356b_mssk2.docx
Optirel G;Минимальный ток коммутации;"По току, есть только график, который начинается от 10 В и 0,1 А, что скорее всего и предполагает  минимальное напряжение 10В и ток 0,1 А. Для контактов покрытых золотом этот параметр снижается до 5 В, 0,01 А (см графики)
";
Optiswitch DI;Заземление;"Для заземления аппаратов OptiSwitch DI можно использовать любое из монтажных отверстий как точку заземления.

Есть разные размеры сечения проводов заземления в зависимости от номинального тока самого аппарата:
- фазный провод сечением до 16 кв мм. Сечение заземляющего провода будет таким же;
- фазный провод сечением 16-35 кв мм. Сечение заземляющего провода должно быть минимум 16 кв мм;
- для фазного провода сечением более 35 кв мм. Сечение заземляющего провода может быть вычислено по формулам";
Optirel G;Полярность катушки;Если полярность на схеме в руководстве не указана, то  ориентируемся на маркировку нанесенную на реле  или дополнительные модули. Если на реле не указана полярность, то не имеет значения как подключать, но общепринятым считается А1(+) и А2(-). ;
Optiswitch DI;Устройство для монтажа рукоятки чертеж;Во вложении чертеж размеров;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F68e39d7d068ff00c7a8131c1_rukoyatka_di_400a.png
DIN-рейка;Стандарт изготовления;"Стальной штрипс для изготовления дин-реек изготовлен по ГОСТ 52246-2016 (допускаемая серповидность, высота заусенцев и телескопичность).

Изготавливаем дин-рейки согласно приложению А к ГОСТ Р МЭК 60715-2003 (в части размеров и допусков).";
Optimat D;Батарейка;Батарейка SAFT LS14250 с аксиальными выводами ;
УЗИП;Выбор плавких вставок;Инструкция во вложении;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F68e39df549363908876dca9b_uzip_vibor_plavkih_vstavok.pdf
ВА57, ВА55, ВА53;А37 структура;Во вложении структура условного обозначения;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F68e39e1490fa7b06d1fd67bb_a_37_seriya.jpg
РЛНД,ПРНЗ;Блокировка включения;"Блокировка включения заземлителя при включенном разъединителе — да
Блокировка включения разъединителя при включенном заземлителе — да
Длина пути утечки - не менее 30
Указатель вкл\выкл и фиксация - есть";
Тест;Тест;Тест;https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F68eab71ce010db6ddbccc94a_eng.png, https://forms.yandex.ru/u/files?path=%2F1130000061889357%2F68dfc48bd046883763799290%2F68eab720d046884b83ed021f_img_20200130_160842.jpg
