Наименование;Артикул
Выключатель АК50Б-2МОМ3, 50Гц, 31,5А, 12Iн, ТУ16-522.136-78;104675
Выключатель АК50Б-2МОМ3, 50Гц, 31,5А, 12Iн, условие - 01, ТУ16-522.136-78;104674
Выключатель АК50Б-2МОМ3, 50Гц, 40А, 12Iн, ТУ16-522.136-78;104678
Выключатель АК50Б-2МОМ3, 50Гц, 40А, 12Iн, условие - 01, ТУ16-522.136-78;104677
Выключатель АК50Б-2МОМ3, 50Гц, 50А, 12Iн, ТУ16-522.136-78;227709
Выключатель АК50Б-2МОМ3, 50Гц, 1А, 6Iн, ТУ16-522.136-78;104680
Выключатель АК50Б-2МОМ3, 50Гц, 1А, 6Iн, условие - 01, ТУ16-522.136-78;104681
Выключатель АК50Б-2МОМ3, 50Гц, 10А, 6Iн, ТУ16-522.136-78;104688
Выключатель АК50Б-2МОМ3, 50Гц, 10А, 6Iн, условие - 01, ТУ16-522.136-78;104687
Выключатель АК50Б-2МОМ3, 50Гц, 16А, 6Iн, ТУ16-522.136-78;104690
Выключатель АК50Б-2МОМ3, 50Гц, 16А, 6Iн, условие - 01, ТУ16-522.136-78;104691
Выключатель АК50Б-2МОМ3, 50Гц, 2А, 6Iн, ТУ16-522.136-78;104697
Выключатель АК50Б-2МОМ3, 50Гц, 2А, 6Iн, условие - 01, ТУ16-522.136-78;104696
Выключатель АК50Б-2МОМ3, 50Гц, 20А, 6Iн, ТУ16-522.136-78;104704
Выключатель АК50Б-2МОМ3, 50Гц, 20А, 6Iн, условие - 01, ТУ16-522.136-78;104703
Выключатель АК50Б-2МОМ3, 50Гц, 25А, 6Iн, ТУ16-522.136-78;104706
Выключатель АК50Б-2МОМ3, 50Гц, 25А, 6Iн, условие - 01, ТУ16-522.136-78;104707
Выключатель АК50Б-2МОМ3, 50Гц, 31,5А, 6Iн, ТУ16-522.136-78;104713
Выключатель АК50Б-2МОМ3, 50Гц, 31,5А, 6Iн, условие - 01, ТУ16-522.136-78;104712
Выключатель АК50Б-2МОМ3, 50Гц, 4А, 6Iн, ТУ16-522.136-78;104714
Выключатель АК50Б-2МОМ3, 50Гц, 4А, 6Iн, условие - 01, ТУ16-522.136-78;104715
Выключатель АК50Б-2МОМ3, 50Гц, 40А, 6Iн, ТУ16-522.136-78;104721
Выключатель АК50Б-2МОМ3, 50Гц, 40А, 6Iн, условие - 01, ТУ16-522.136-78;104722
Выключатель АК50Б-2МОМ3, 50Гц, 5А, 6Iн, ТУ16-522.136-78;104729
Выключатель АК50Б-2МОМ3, 50Гц, 5А, 6Iн, условие - 01, ТУ16-522.136-78;104728
Выключатель АК50Б-2МОМ3, 50Гц, 50А, 6Iн, ТУ16-522.136-78;104730
Выключатель АК50Б-2МОМ3, 50Гц, 50А, 6Iн, условие - 01, ТУ16-522.136-78;104731
Выключатель АК50Б-2МОМ3, 50Гц, 6,3А, 6Iн, ТУ16-522.136-78;104736
Выключатель АК50Б-2МОМ3, 50Гц, 6,3А, 6Iн, условие - 01, ТУ16-522.136-78;104737
Выключатель АК50Б-2МОМ3, 50Гц, 8А, 6Iн, ТУ16-522.136-78;104738
Выключатель АК50Б-2МОМ3, 50Гц, 8А, 6Iн, условие - 01, ТУ16-522.136-78;104739
Выключатель АК50Б-2МОМ2, 50Гц, 10А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;286796
Выключатель АК50Б-2МОМ2, 50Гц, 40А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;104747
Выключатель АК50Б-2МОМ2, 50Гц, 50А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;286474
Выключатель АК50Б-2МОМ2, 50Гц, 16А, 6Iн, IP54 (с сальниками), условие - 01, ТУ16-522.136-78;144175
Выключатель АК50Б-2МОМ2, 50Гц, 25А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;222773
Выключатель АК50Б-2МОМ2, 50Гц, 40А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;104752
Выключатель АК50Б-2МОМ2, 50Гц, 50А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;104753
Выключатель АК50Б-2МОМ3, постоянный, 1А, 6Iн, ТУ16-522.136-78;104758
Выключатель АК50Б-2МОМ3, постоянный, 1А, 6Iн, условие - 01, ТУ16-522.136-78;104757
Выключатель АК50Б-2МОМ3, постоянный, 10А, 6Iн, ТУ16-522.136-78;104759
Выключатель АК50Б-2МОМ3, постоянный, 10А, 6Iн, условие - 01, ТУ16-522.136-78;104760
Выключатель АК50Б-2МОМ3, постоянный, 16А, 6Iн, ТУ16-522.136-78;104764
Выключатель АК50Б-2МОМ3, постоянный, 16А, 6Iн, условие - 01, ТУ16-522.136-78;231178
Выключатель АК50Б-2МОМ3, постоянный, 2А, 6Iн, ТУ16-522.136-78;104766
Выключатель АК50Б-2МОМ3, постоянный, 2А, 6Iн, условие - 01, ТУ16-522.136-78;104767
Выключатель АК50Б-2МОМ3, постоянный, 20А, 6Iн, ТУ16-522.136-78;104771
Выключатель АК50Б-2МОМ3, постоянный, 20А, 6Iн, условие - 01, ТУ16-522.136-78;104772
Выключатель АК50Б-2МОМ3, постоянный, 25А, 6Iн, ТУ16-522.136-78;104775
