Наименование;Артикул;Замена;АЗамена
Выключатель автоматический ВА21-29-342210-63А-6Iн-220DC-У3-КЭАЗ;100540;;
Выключатель автоматический ВА21-29М-140010-2А-6Iн-240DC-У3-КЭАЗ;100684;;
Выключатель автоматический ВА21-29М-140010-12,5А-6Iн-240DC-У3-КЭАЗ;101776;;
Выключатель автоматический ВА21-29-342210-50А-6Iн-220DC-У3-КЭАЗ;101787;;
Выключатель автоматический ВА21-29-342210-16А-6Iн-220DC-У3-КЭАЗ;101865;;
Выключатель автоматический ВА21-29-342210-20А-6Iн-220DC-У3-КЭАЗ;102005;;
Выключатель автоматический ВА21-29-342210-31,5А-6Iн-220DC-У3-КЭАЗ;102047;;
Выключатель автоматический ВА21-29-342210-3,15А-6Iн-220DC-У3-КЭАЗ;102403;;
Выключатель автоматический ВА21-29Т-120010-0,8А-1,5Iн-600DC-У3-КЭАЗ;103214;;
Выключатель автоматический ВА21-29-342210-2,5А-6Iн-220DC-У3-КЭАЗ;103237;;
Выключатель автоматический ВА21-29-342210-40А-6Iн-220DC-У3-КЭАЗ;103326;;
Выключатель АК50Б-2МГОМ3, 50Гц, 2,5А, 12Iн, ТУ16-522.136-78;104833;;
Выключатель АК50Б-3МГОМ3, 50Гц, 2,5А, 12Iн, ТУ16-522.136-78;105192;;
Выключатель автоматический АП50Б-1М2ТД-1,6А-10Iн-400AC/220DC-НР230AC/220DC-IP54Ф-У2-КЭАЗ;106443;;
Выключатель автоматический АП50Б-1М2ТД-10А-10Iн-400AC/220DC-НР230AC/220DC-IP54Ф-У2-КЭАЗ;106444;;
Выключатель автоматический АП50Б-1М2ТД-16А-10Iн-400AC/220DC-НР230AC/220DC-IP54Ф-У2-КЭАЗ;106445;;
Выключатель автоматический АП50Б-1М2ТД-6,3А-10Iн-400AC/220DC-НР400AC-IP54Ф-У2-КЭАЗ;106446;;
Выключатель автоматический АП50Б-1М2ТД-1,6А-3,5Iн-400AC/220DC-НР400AC-IP54Ф-У2-КЭАЗ;106448;;
Выключатель автоматический АП50Б-2М-1,6А-10Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;106543;;
Выключатель автоматический АП50Б-2М-10А-10Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;106544;;
Выключатель автоматический АП50Б-2М-16А-10Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;106545;;
Выключатель автоматический АП50Б-2М-25А-10Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;106546;;
Выключатель автоматический АП50Б-2М-1,6А-3,5Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;106555;;
Выключатель автоматический АП50Б-2М-16А-3,5Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;106556;;
Выключатель автоматический АП50Б-2М-2,5А-3,5Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;106557;;
Выключатель автоматический АП50Б-2М-4А-3,5Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;106558;;
Выключатель автоматический АП50Б-2М3ТД-6,3А-10Iн-400AC-НР230AC/220DC-IP54Ф-У2-КЭАЗ;106671;;
Выключатель автоматический АП50Б-2М3ТД-10А-10Iн-400AC-НР230AC/220DC-1П-IP54Ф-У2-КЭАЗ;106684;;
Выключатель автоматический АП50Б-2М3ТД-16А-10Iн-400AC-НР230AC/220DC-1П-IP54Ф-У2-КЭАЗ;106685;;
Выключатель автоматический АП50Б-2М3ТД-25А-10Iн-400AC-НР230AC/220DC-1П-IP54Ф-У2-КЭАЗ;106686;;
Выключатель автоматический АП50Б-2М3ТД-1,6А-10Iн-400AC-НР230AC/220DC-IP54Ф-У2-КЭАЗ;106687;;
Выключатель автоматический АП50Б-2М3ТД-10А-10Iн-400AC-НР230AC/220DC-IP54Ф-У2-КЭАЗ;106688;;
